,Año,Alineamiento
Buenos Aires,2010,1
Buenos Aires,2011,1
Buenos Aires,2012,1
Buenos Aires,2013,1
Buenos Aires,2014,1
Buenos Aires,2015,1
Buenos Aires,2016,1
Buenos Aires,2017,1
Buenos Aires,2018,1
Buenos Aires,2019,1
Buenos Aires,2020,1
Buenos Aires,2021,1
Buenos Aires,2022,1
CABA,2010,0
CABA,2011,0
CABA,2012,0
CABA,2013,0
CABA,2014,0
CABA,2015,0
CABA,2016,1
CABA,2017,1
CABA,2018,1
CABA,2019,1
CABA,2020,0
CABA,2021,0
CABA,2022,0
Catamarca,2010,0
Catamarca,2011,1
Catamarca,2012,1
Catamarca,2013,1
Catamarca,2014,1
Catamarca,2015,1
Catamarca,2016,0
Catamarca,2017,0
Catamarca,2018,0
Catamarca,2019,0
Catamarca,2020,1
Catamarca,2021,1
Catamarca,2022,1
Chaco,2010,1
Chaco,2011,1
Chaco,2012,1
Chaco,2013,1
Chaco,2014,1
Chaco,2015,1
Chaco,2016,0
Chaco,2017,0
Chaco,2018,0
Chaco,2019,0
Chaco,2020,1
Chaco,2021,1
Chaco,2022,1
Chubut,2010,0
Chubut,2011,0
Chubut,2012,1
Chubut,2013,1
Chubut,2014,1
Chubut,2015,1
Chubut,2016,0
Chubut,2017,0
Chubut,2018,0
Chubut,2019,0
Chubut,2020,1
Chubut,2021,1
Chubut,2022,1
Córdoba,2010,0
Córdoba,2011,0
Córdoba,2012,0
Córdoba,2013,0
Córdoba,2014,0
Córdoba,2015,0
Córdoba,2016,0
Córdoba,2017,0
Córdoba,2018,0
Córdoba,2019,0
Córdoba,2020,0
Córdoba,2021,0
Córdoba,2022,0
Corrientes,2010,0
Corrientes,2011,0
Corrientes,2012,0
Corrientes,2013,0
Corrientes,2014,0
Corrientes,2015,0
Corrientes,2016,1
Corrientes,2017,1
Corrientes,2018,1
Corrientes,2019,1
Corrientes,2020,0
Corrientes,2021,0
Corrientes,2022,0
Entre Ríos,2010,1
Entre Ríos,2011,1
Entre Ríos,2012,1
Entre Ríos,2013,1
Entre Ríos,2014,1
Entre Ríos,2015,1
Entre Ríos,2016,0
Entre Ríos,2017,0
Entre Ríos,2018,0
Entre Ríos,2019,0
Entre Ríos,2020,1
Entre Ríos,2021,1
Entre Ríos,2022,1
Formosa,2010,1
Formosa,2011,1
Formosa,2012,1
Formosa,2013,1
Formosa,2014,1
Formosa,2015,1
Formosa,2016,0
Formosa,2017,0
Formosa,2018,0
Formosa,2019,0
Formosa,2020,1
Formosa,2021,1
Formosa,2022,1
Jujuy,2010,1
Jujuy,2011,1
Jujuy,2012,1
Jujuy,2013,1
Jujuy,2014,1
Jujuy,2015,1
Jujuy,2016,1
Jujuy,2017,1
Jujuy,2018,1
Jujuy,2019,1
Jujuy,2020,0
Jujuy,2021,0
Jujuy,2022,0
La Pampa,2010,1
La Pampa,2011,1
La Pampa,2012,1
La Pampa,2013,1
La Pampa,2014,1
La Pampa,2015,1
La Pampa,2016,0
La Pampa,2017,0
La Pampa,2018,0
La Pampa,2019,0
La Pampa,2020,1
La Pampa,2021,1
La Pampa,2022,1
La Rioja,2010,1
La Rioja,2011,1
La Rioja,2012,1
La Rioja,2013,1
La Rioja,2014,1
La Rioja,2015,1
La Rioja,2016,0
La Rioja,2017,0
La Rioja,2018,0
La Rioja,2019,0
La Rioja,2020,1
La Rioja,2021,1
La Rioja,2022,1
Mendoza,2010,1
Mendoza,2011,1
Mendoza,2012,1
Mendoza,2013,1
Mendoza,2014,1
Mendoza,2015,1
Mendoza,2016,1
Mendoza,2017,1
Mendoza,2018,1
Mendoza,2019,1
Mendoza,2020,0
Mendoza,2021,0
Mendoza,2022,0
Misiones,2010,1
Misiones,2011,1
Misiones,2012,1
Misiones,2013,1
Misiones,2014,1
Misiones,2015,1
Misiones,2016,0
Misiones,2017,0
Misiones,2018,0
Misiones,2019,0
Misiones,2020,0
Misiones,2021,0
Misiones,2022,0
Neuquén,2010,0
Neuquén,2011,0
Neuquén,2012,0
Neuquén,2013,0
Neuquén,2014,0
Neuquén,2015,0
Neuquén,2016,0
Neuquén,2017,0
Neuquén,2018,0
Neuquén,2019,0
Neuquén,2020,0
Neuquén,2021,0
Neuquén,2022,0
Río Negro,2010,1
Río Negro,2011,1
Río Negro,2012,1
Río Negro,2013,0
Río Negro,2014,0
Río Negro,2015,0
Río Negro,2016,0
Río Negro,2017,0
Río Negro,2018,0
Río Negro,2019,0
Río Negro,2020,0
Río Negro,2021,0
Río Negro,2022,0
Salta,2010,1
Salta,2011,1
Salta,2012,1
Salta,2013,1
Salta,2014,1
Salta,2015,1
Salta,2016,0
Salta,2017,0
Salta,2018,0
Salta,2019,0
Salta,2020,0
Salta,2021,0
Salta,2022,0
San Juan,2010,1
San Juan,2011,1
San Juan,2012,1
San Juan,2013,1
San Juan,2014,1
San Juan,2015,1
San Juan,2016,0
San Juan,2017,0
San Juan,2018,0
San Juan,2019,0
San Juan,2020,1
San Juan,2021,1
San Juan,2022,1
San Luis,2010,0
San Luis,2011,0
San Luis,2012,0
San Luis,2013,0
San Luis,2014,0
San Luis,2015,0
San Luis,2016,0
San Luis,2017,0
San Luis,2018,0
San Luis,2019,0
San Luis,2020,1
San Luis,2021,1
San Luis,2022,1
Santa Cruz,2010,1
Santa Cruz,2011,0
Santa Cruz,2012,0
Santa Cruz,2013,0
Santa Cruz,2014,0
Santa Cruz,2015,0
Santa Cruz,2016,0
Santa Cruz,2017,0
Santa Cruz,2018,0
Santa Cruz,2019,0
Santa Cruz,2020,1
Santa Cruz,2021,1
Santa Cruz,2022,1
Santa Fe,2010,0
Santa Fe,2011,0
Santa Fe,2012,0
Santa Fe,2013,0
Santa Fe,2014,0
Santa Fe,2015,0
Santa Fe,2016,0
Santa Fe,2017,0
Santa Fe,2018,0
Santa Fe,2019,0
Santa Fe,2020,1
Santa Fe,2021,1
Santa Fe,2022,1
Santiago del Estero,2010,1
Santiago del Estero,2011,1
Santiago del Estero,2012,1
Santiago del Estero,2013,1
Santiago del Estero,2014,1
Santiago del Estero,2015,1
Santiago del Estero,2016,0
Santiago del Estero,2017,0
Santiago del Estero,2018,0
Santiago del Estero,2019,0
Santiago del Estero,2020,1
Santiago del Estero,2021,1
Santiago del Estero,2022,1
Tierra del Fuego,2010,0
Tierra del Fuego,2011,0
Tierra del Fuego,2012,0
Tierra del Fuego,2013,0
Tierra del Fuego,2014,0
Tierra del Fuego,2015,0
Tierra del Fuego,2016,0
Tierra del Fuego,2017,0
Tierra del Fuego,2018,0
Tierra del Fuego,2019,0
Tierra del Fuego,2020,1
Tierra del Fuego,2021,1
Tierra del Fuego,2022,1
Tucumán,2010,1
Tucumán,2011,1
Tucumán,2012,1
Tucumán,2013,1
Tucumán,2014,1
Tucumán,2015,1
Tucumán,2016,0
Tucumán,2017,0
Tucumán,2018,0
Tucumán,2019,0
