prov,yr,top_n,IPC,top_r,pob,itpc
buenos_aires,2010,26.413,"0,21",1.222.545,15.716.942,"0,078"
buenos_aires,2011,35.193,"0,26",1.315.677,15.909.607,"0,083"
buenos_aires,2012,46.128,"0,32",1.401.138,16.100.618,"0,087"
buenos_aires,2013,67.632,"0,41",1.603.373,16.289.599,"0,098"
buenos_aires,2014,89.532,"0,57",1.526.756,16.476.149,"0,093"
buenos_aires,2015,118.778,"0,72",1.603.503,16.659.931,"0,096"
buenos_aires,2016,159.221,"1,03",1.502.552,16.841.135,"0,089"
buenos_aires,2017,219.922,"1,30",1.644.340,17.020.012,"0,097"
buenos_aires,2018,276.461,"1,74",1.544.368,17.196.396,"0,090"
buenos_aires,2019,367.062,"2,68",1.331.285,17.370.144,"0,077"
buenos_aires,2020,466.666,"3,80",1.193.683,17.541.141,"0,068"
buenos_aires,2021,792.679,"5,64",1.366.106,17.709.598,"0,077"
buenos_aires,2022,1.410.576,"9,72",1.410.576,17.875.743,"0,079"
ciudad_de_buenos_aires,2010,16.363,"0,21",757.373,3.028.481,"0,250"
ciudad_de_buenos_aires,2011,21.624,"0,26",808.405,3.033.639,"0,266"
ciudad_de_buenos_aires,2012,27.951,"0,32",849.012,3.038.860,"0,279"
ciudad_de_buenos_aires,2013,40.468,"0,41",959.388,3.044.076,"0,315"
ciudad_de_buenos_aires,2014,54.442,"0,57",928.379,3.049.229,"0,304"
ciudad_de_buenos_aires,2015,69.021,"0,72",931.784,3.054.267,"0,305"
ciudad_de_buenos_aires,2016,93.836,"1,03",885.520,3.059.122,"0,289"
ciudad_de_buenos_aires,2017,128.966,"1,30",964.269,3.063.728,"0,315"
ciudad_de_buenos_aires,2018,174.496,"1,74",974.771,3.068.043,"0,318"
ciudad_de_buenos_aires,2019,235.476,"2,68",854.040,3.072.029,"0,278"
ciudad_de_buenos_aires,2020,314.847,"3,80",805.345,3.075.646,"0,262"
ciudad_de_buenos_aires,2021,532.991,"5,64",918.559,3.078.836,"0,298"
ciudad_de_buenos_aires,2022,1.021.322,"9,72",1.021.322,3.081.550,"0,331"
catamarca,2010,321,"0,21",14.858,377.676,"0,039"
catamarca,2011,475,"0,26",17.758,381.548,"0,047"
catamarca,2012,544,"0,32",16.524,385.408,"0,043"
catamarca,2013,707,"0,41",16.761,389.256,"0,043"
catamarca,2014,1.039,"0,57",17.718,393.088,"0,045"
catamarca,2015,1.335,"0,72",18.023,396.895,"0,045"
catamarca,2016,1.808,"1,03",17.062,400.678,"0,043"
catamarca,2017,2.550,"1,30",19.066,404.433,"0,047"
catamarca,2018,3.225,"1,74",18.016,408.152,"0,044"
catamarca,2019,4.688,"2,68",17.003,411.824,"0,041"
catamarca,2020,5.832,"3,80",14.918,415.438,"0,036"
catamarca,2021,10.657,"5,64",18.366,418.991,"0,044"
catamarca,2022,22.132,"9,72",22.132,422.476,"0,052"
chaco,2010,711,"0,21",32.909,1.080.017,"0,030"
chaco,2011,1.120,"0,26",41.871,1.092.625,"0,038"
chaco,2012,1.294,"0,32",39.305,1.105.280,"0,036"
chaco,2013,1.981,"0,41",46.964,1.117.953,"0,042"
chaco,2014,2.872,"0,57",48.975,1.130.608,"0,043"
chaco,2015,3.693,"0,72",49.856,1.143.201,"0,044"
chaco,2016,5.125,"1,03",48.364,1.155.723,"0,042"
chaco,2017,7.199,"1,30",53.826,1.168.165,"0,046"
chaco,2018,8.876,"1,74",49.583,1.180.477,"0,042"
chaco,2019,11.068,"2,68",40.142,1.192.616,"0,034"
chaco,2020,15.054,"3,80",38.507,1.204.541,"0,032"
chaco,2021,27.173,"5,64",46.830,1.216.247,"0,039"
chaco,2022,49.647,"9,72",49.647,1.227.736,"0,040"
chubut,2010,880,"0,21",40.731,513.433,"0,079"
chubut,2011,1.262,"0,26",47.179,524.201,"0,090"
chubut,2012,1.592,"0,32",48.357,534.945,"0,090"
chubut,2013,2.267,"0,41",53.744,545.656,"0,098"
chubut,2014,3.479,"0,57",59.326,556.319,"0,107"
chubut,2015,4.793,"0,72",64.706,566.922,"0,114"
chubut,2016,5.437,"1,03",51.308,577.466,"0,089"
chubut,2017,7.420,"1,30",55.479,587.956,"0,094"
chubut,2018,10.872,"1,74",60.733,598.380,"0,101"
chubut,2019,15.472,"2,68",56.115,608.729,"0,092"
chubut,2020,17.831,"3,80",45.610,618.994,"0,074"
chubut,2021,31.479,"5,64",54.251,629.181,"0,086"
chubut,2022,54.361,"9,72",54.361,639.294,"0,085"
cordoba,2010,5.204,"0,21",240.871,3.373.025,"0,071"
cordoba,2011,7.029,"0,26",262.776,3.411.773,"0,077"
cordoba,2012,8.715,"0,32",264.718,3.450.673,"0,077"
cordoba,2013,12.647,"0,41",299.826,3.489.669,"0,086"
cordoba,2014,17.887,"0,57",305.020,3.528.687,"0,086"
cordoba,2015,23.005,"0,72",310.568,3.567.654,"0,087"
cordoba,2016,30.886,"1,03",291.468,3.606.540,"0,081"
cordoba,2017,42.690,"1,30",319.190,3.645.321,"0,088"
cordoba,2018,56.351,"1,74",314.788,3.683.937,"0,085"
cordoba,2019,74.734,"2,68",271.050,3.722.332,"0,073"
cordoba,2020,113.145,"3,80",289.413,3.760.450,"0,077"
cordoba,2021,184.432,"5,64",317.851,3.798.261,"0,084"
cordoba,2022,314.013,"9,72",314.013,3.835.738,"0,082"
corrientes,2010,532,"0,21",24.624,1.017.731,"0,024"
corrientes,2011,797,"0,26",29.796,1.028.248,"0,029"
corrientes,2012,1.009,"0,32",30.648,1.038.786,"0,030"
corrientes,2013,1.311,"0,41",31.080,1.049.325,"0,030"
corrientes,2014,1.973,"0,57",33.645,1.059.836,"0,032"
corrientes,2015,2.766,"0,72",37.341,1.070.283,"0,035"
corrientes,2016,3.725,"1,03",35.152,1.080.655,"0,033"
corrientes,2017,4.983,"1,30",37.258,1.090.938,"0,034"
corrientes,2018,6.542,"1,74",36.545,1.101.084,"0,033"
corrientes,2019,8.759,"2,68",31.768,1.111.052,"0,029"
corrientes,2020,11.717,"3,80",29.971,1.120.801,"0,027"
corrientes,2021,20.408,"5,64",35.171,1.130.320,"0,031"
corrientes,2022,35.091,"9,72",35.091,1.139.604,"0,031"
entre_rios,2010,1.383,"0,21",64.013,1.255.574,"0,051"
entre_rios,2011,1.954,"0,26",73.050,1.268.744,"0,058"
entre_rios,2012,2.835,"0,32",86.113,1.281.931,"0,067"
entre_rios,2013,3.935,"0,41",93.288,1.295.121,"0,072"
